image_id, rank, name, score
0, 1, , 102
0, 2, , 101
0, 3, , 93
0, 4, , 92
0, 5, , 91
0, 6, , 87
0, 7, , 83
0, 8, , 75
0, 9, , 73
0, 10, , 72
0, 11, , 60
0, 12, , 55
1, 1, , 96
1, 2, , 91
1, 3, , 88
1, 4, , 86
1, 5, , 83
1, 6, , 78
1, 7, , 78
1, 8, , 76
1, 9, , 75
1, 10, , 66
1, 11, , 64
1, 12, , 33
2, 1, , 101
2, 2, , 93
2, 3, , 91
2, 4, , 90
2, 5, , 87
2, 6, , 85
2, 7, , 83
2, 8, , 78
2, 9, , 76
2, 10, , 75
2, 11, , 67
2, 12, , 58
3, 1, , 99
3, 2, , 96
3, 3, , 93
3, 4, , 93
3, 5, , 82
3, 6, , 81
3, 7, , 80
3, 8, , 79
3, 9, , 77
3, 10, , 76
3, 11, , 74
3, 12, , 54
4, 1, , 107
4, 2, , 107
4, 3, , 97
4, 4, , 91
4, 5, , 87
4, 6, , 84
4, 7, , 83
4, 8, , 81
4, 9, , 67
4, 10, , 66
4, 11, , 62
4, 12, , 51
5, 1, , 116
5, 2, , 104
5, 3, , 103
5, 4, , 91
5, 5, , 86
5, 6, , 78
5, 7, , 77
5, 8, , 75
5, 9, , 70
5, 10, , 69
5, 11, , 67
5, 12, , 48